"Method","Embedding file","Embedding dimension","Number of clusters (k)","Reduced dimension (q)","Tuning parameter (nu)","Runtime (seconds)","Average silhouette width","Calinski-Harabasz index","Probability silhouette","Within-cluster sum of squares","Status"
"RKM","user_embeddings_256",256,6,2,NA,787.2146,0.1237,56.6111,NA,NA,"ok"
"RKM","user_embeddings_256",256,6,3,NA,1073.7157,0.1125,57.2032,NA,NA,"ok"
"RKM","user_embeddings_256",256,6,4,NA,876.5838,0.1127,57.4085,NA,NA,"ok"
"RKM","user_embeddings_256",256,6,5,NA,644.4816,0.1151,57.53,NA,NA,"ok"
"RKM","user_embeddings_256",256,7,2,NA,1302.6136,-0.028,50.3554,NA,NA,"ok"
"RKM","user_embeddings_256",256,7,3,NA,1850.1888,-0.0215,51.217,NA,NA,"ok"
"RKM","user_embeddings_256",256,7,4,NA,950.0042,-0.0448,51.6699,NA,NA,"ok"
"RKM","user_embeddings_256",256,7,5,NA,724.2056,-0.0441,51.8379,NA,NA,"ok"
"RKM","user_embeddings_256",256,8,2,NA,1721.6534,-0.0316,45.2427,NA,NA,"ok"
"RKM","user_embeddings_256",256,8,3,NA,1925.5131,0.0142,46.4041,NA,NA,"ok"
"RKM","user_embeddings_256",256,8,4,NA,1844.6648,0.0031,46.8726,NA,NA,"ok"
"RKM","user_embeddings_256",256,8,5,NA,1012.6225,0.05,47.3312,NA,NA,"ok"
"FPDC","user_embeddings_64",64,2,2,6,8283.3004,0.0087,51.7807,0.1012,NA,"ok"
"FPDC","user_embeddings_64",64,2,2,10,2809.4465,0.0087,51.7807,0.1012,NA,"ok"
"FPDC","user_embeddings_64",64,2,3,6,323.6337,0.0116,71.6947,0.132,NA,"ok"
"FPDC","user_embeddings_64",64,2,3,10,106.3709,0.0116,71.6929,0.132,NA,"ok"
"FPDC","user_embeddings_64",64,2,4,6,241.7411,0.0118,70.5457,0.1427,NA,"ok"
"FPDC","user_embeddings_64",64,2,4,10,77.7626,0.0117,69.9331,0.1427,NA,"ok"
